,C_GENDER,C_AGE,C_FIRST_WORK_DATE,CUST_CODE
0,1,53,01-AUG-86,49744050
1,2,49,01-DEC-90,88528785
2,2,25,23-FEB-16,63334672
3,2,53,01-DEC-81,19815276
4,2,38,01-AUG-03,44407636
5,2,53,01-NOV-84,64704182
6,2,35,01-JUL-05,54355280
7,2,33,10-MAY-10,13017357
8,2,28,13-JAN-14,34211586
9,2,37,01-OCT-03,59661975
10,2,51,01-DEC-94,57216986
11,1,29,01-JAN-14,89927286
12,1,31,01-DEC-05,38746227
13,2,28,01-OCT-10,55978591
14,1,31,28-FEB-11,65485832
15,2,27,28-MAY-15,10794983
16,1,40,01-JAN-05,51048735
17,1,36,11-NOV-06,22276714
18,1,36,13-SEP-07,33928504
19,2,31,17-JUN-13,40964258
20,2,41,01-JUN-96,20899424
21,2,30,01-SEP-11,64407038
22,2,47,01-DEC-89,72537277
23,2,32,17-JUL-15,43034808
24,1,29,01-FEB-11,16696864
25,2,25,17-NOV-14,13752992
26,1,29,17-JUL-13,14570635
27,2,27,06-FEB-11,41132845
28,2,30,12-NOV-12,17452597
29,2,26,01-JUL-16,10188859
30,1,39,07-SEP-01,37151833
31,1,28,15-JAN-14,38328561
32,2,28,15-JAN-14,49186469
33,1,28,15-JAN-14,76040080
34,1,39,01-JUL-05,76834426
35,2,29,01-SEP-10,68483312
36,1,28,29-OCT-13,86200542
37,2,46,01-DEC-89,59682367
38,1,34,01-OCT-08,12110774
39,1,29,15-APR-11,86051265
40,2,34,01-JUL-02,84562446
41,1,27,20-FEB-14,38617373
42,1,31,01-AUG-11,29834261
43,1,27,01-DEC-08,52460759
44,2,41,01-SEP-94,45846887
45,1,26,30-JUN-15,53790033
46,1,41,01-MAY-94,35250845
47,1,39,01-JUL-01,44325700
48,1,35,01-SEP-07,13357446
49,2,35,01-NOV-07,35185233
50,2,28,28-FEB-15,92151243
51,1,36,01-JUL-08,59369429
52,1,34,01-AUG-06,25104362
53,1,28,13-APR-15,24819424
54,1,30,22-JUL-13,17706891
55,1,49,01-NOV-84,39261677
56,1,26,13-APR-15,10319248
